# MEAN_SAMPLE_SIZE = 350000
# TOTAL_GENES = 14958
# CONDITIONED_COVAR = Average
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, inverse_mac, log_inverse_mac
COVAR                      OBS_GENES       BETA   BETA_STD         SE            P
Endo                           14958  -0.000247   -0.00051    0.00609      0.51617
Glia                           14958    0.00866     0.0166    0.00916      0.17219
L2_3                           14958    -0.0137    -0.0451     0.0107      0.89908
L4_5                           14958    0.00978      0.028     0.0088      0.13323
L5_Tshz2                       14958  -0.000293  -0.000918    0.00876      0.51335
L5a                            14958    0.00999     0.0325     0.0126      0.21468
L6a_Foxp2                      14958   -0.00642    -0.0207     0.0114      0.71375
L6b                            14958     -0.002   -0.00681    0.00701      0.61217
Lamp5                          14958    -0.0152    -0.0483     0.0125      0.88672
Meis2                          14958  -0.000332  -0.000847    0.00578      0.52291
Pvalb                          14958    -0.0214     -0.069     0.0111      0.97297
SMC                            14958    0.00713     0.0168    0.00556     0.099691
Sst                            14958     -0.011    -0.0339     0.0149      0.77026
Sst_Chodl                      14958   -0.00336    -0.0104     0.0104      0.62666
Vip                            14958     0.0185     0.0529     0.0151      0.11049
Vip_Sncg                       14958    -0.0015   -0.00459     0.0123      0.54873
