# MEAN_SAMPLE_SIZE = 350000
# TOTAL_GENES = 14079
# CONDITIONED_COVAR = Average
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, inverse_mac, log_inverse_mac
COVAR                      OBS_GENES       BETA   BETA_STD         SE            P
Astro_Aqp4                     14079    0.00995     0.0178    0.00769     0.097952
Endo_Xdh                       14079   -0.00345   -0.00593    0.00719      0.68448
Igtp                           14079   -0.00308   -0.00824     0.0116      0.60431
L2_3_Ptgs2                     14079   -0.00274   -0.00753     0.0144       0.5753
L2_Ngb                         14079    0.00947     0.0256      0.013      0.23378
L4_Arf5                        14079     0.0159     0.0426     0.0113     0.079834
L4_Ctxn3                       14079     0.0237     0.0599     0.0156     0.064454
L4_Scnn1a                      14079     0.0168     0.0439      0.015      0.13211
L5_Ucma                        14079     0.0249     0.0684     0.0137     0.034302
L5a_Batf3                      14079    -0.0078    -0.0217     0.0167      0.67995
L5a_Hsd11b1                    14079    0.00982     0.0273     0.0151      0.25825
L5a_Pde1c                      14079    0.00807     0.0222     0.0149      0.29417
L5a_Tcerg1l                    14079    0.00845     0.0236     0.0165       0.3045
L5b_Cdh13                      14079    -0.0214    -0.0612     0.0144       0.9314
L5b_Chrna6                     14079    0.00416      0.012     0.0117       0.3608
L5b_Tph2                       14079   -0.00379    -0.0111     0.0132      0.61268
L6a_Car12                      14079     0.0169     0.0468     0.0135      0.10433
L6a_Mgp                        14079   0.000184   0.000506     0.0148      0.49506
L6a_Sla                        14079    0.00957     0.0257     0.0168      0.28431
L6a_Syt17                      14079     0.0113     0.0319     0.0129      0.19072
L6b_Rgs12                      14079    0.00882     0.0258     0.0122      0.23415
L6b_Serpinb11                  14079    0.00213    0.00612     0.0131      0.43558
Micro_Ctss                     14079     0.0082     0.0135    0.00714      0.12545
Ndnf_Car4                      14079   -0.00853    -0.0221     0.0158       0.7052
Ndnf_Cxcl14                    14079     0.0103     0.0263     0.0174      0.27652
Oligo_96.Rik                   14079   -0.00712    -0.0163    0.00675      0.85431
Oligo_Opalin                   14079   -0.00657    -0.0127     0.0072      0.81925
OPC_Pdgfra                     14079    -0.0043   -0.00788    0.00853      0.69267
Pvalb_Cpne5                    14079     -0.012    -0.0321     0.0125      0.83254
Pvalb_Gpx3                     14079    -0.0178    -0.0481     0.0161      0.86488
Pvalb_Obox3                    14079   -0.00993     -0.027     0.0117      0.80283
Pvalb_Rspo2                    14079    -0.0187    -0.0538      0.013      0.92599
Pvalb_Tacr3                    14079    -0.0122    -0.0351     0.0135      0.81632
Pvalb_Tpbg                     14079   -0.00935    -0.0257     0.0136      0.75471
Pvalb_Wt1                      14079   -0.00949     -0.027      0.013      0.76801
Smad3                          14079   -0.00191   -0.00519     0.0116      0.56524
SMC_Myl9                       14079    0.00188    0.00339    0.00811      0.40834
Sncg                           14079   -0.00738    -0.0207     0.0119       0.7331
Sst_Cbln4                      14079    -0.0191    -0.0519     0.0166      0.87488
Sst_Cdk6                       14079    -0.0175    -0.0479     0.0138      0.89658
Sst_Chodl                      14079    0.00391     0.0111     0.0118      0.37049
Sst_Myh8                       14079   -0.00799    -0.0212     0.0156      0.69551
Sst_Tacstd2                    14079    -0.0227    -0.0651     0.0136      0.95291
Sst_Th                         14079    0.00543     0.0144     0.0149      0.35777
Vip_Chat                       14079     0.0172     0.0412     0.0149      0.12463
Vip_Gpc3                       14079     0.0213     0.0523     0.0148     0.075549
Vip_Mybpc1                     14079   -0.00634    -0.0154      0.013      0.68762
Vip_Parm1                      14079   -0.00809    -0.0189     0.0148      0.70762
Vip_Sncg                       14079     0.0135     0.0356     0.0124      0.13852
